"Localidad";"Mes";"Año";"Produccion_mensual_M3"
"Rio Grande";8;"1997";604236
"Rio Grande";9;"1997";577687
"Rio Grande";10;"1997";588194
"Rio Grande";11;"1997";552571
"Rio Grande";12;"1997";553569
"Ushuaia";1;"1998";761866
"Ushuaia";2;"1998";687400
"Ushuaia";3;"1998";775388
"Ushuaia";4;"1998";738724
"Ushuaia";5;"1998";752687
"Ushuaia";6;"1998";732823
"Ushuaia";7;"1998";764912
"Ushuaia";8;"1998";776652
"Ushuaia";9;"1998";764303
"Ushuaia";10;"1998";794412
"Ushuaia";11;"1998";773802
"Ushuaia";12;"1998";793721
"Rio Grande";1;"1998";501708
"Rio Grande";2;"1998";478494
"Rio Grande";3;"1998";549817
"Rio Grande";4;"1998";552916
"Rio Grande";5;"1998";610590
"Rio Grande";6;"1998";626557
"Rio Grande";7;"1998";615905
"Rio Grande";8;"1998";599432
"Rio Grande";9;"1998";590015
"Rio Grande";10;"1998";626355
"Rio Grande";11;"1998";600932
"Rio Grande";12;"1998";579331
"Ushuaia";1;"1999";772848
"Ushuaia";2;"1999";710186
"Ushuaia";3;"1999";791618
"Ushuaia";4;"1999";768710
"Ushuaia";5;"1999";814524
"Ushuaia";6;"1999";765550
"Ushuaia";7;"1999";791436
"Ushuaia";8;"1999";809511
"Ushuaia";9;"1999";781967
"Ushuaia";10;"1999";852016
"Ushuaia";11;"1999";834934
"Ushuaia";12;"1999";828492
"Rio Grande";1;"1999";548567
"Rio Grande";2;"1999";520711
"Rio Grande";3;"1999";595823
"Rio Grande";4;"1999";630287
"Rio Grande";5;"1999";665909
"Rio Grande";6;"1999";668994
"Rio Grande";7;"1999";695457
"Rio Grande";8;"1999";697588
"Rio Grande";9;"1999";626918
"Rio Grande";10;"1999";662504
"Rio Grande";11;"1999";645540
"Rio Grande";12;"1999";646632
"Ushuaia";1;"2000";796708
"Ushuaia";2;"2000";773136
"Ushuaia";3;"2000";833096
"Ushuaia";4;"2000";788357
"Ushuaia";5;"2000";807305
"Ushuaia";6;"2000";810535
"Ushuaia";7;"2000";867566
"Ushuaia";8;"2000";826954
"Ushuaia";9;"2000";805478
"Ushuaia";10;"2000";868751
"Ushuaia";11;"2000";828335
"Ushuaia";12;"2000";806474
"Rio Grande";1;"2000";598166
"Rio Grande";2;"2000";576485
"Rio Grande";3;"2000";648531
"Rio Grande";4;"2000";626750
"Rio Grande";5;"2000";680700
"Rio Grande";6;"2000";675048
"Rio Grande";7;"2000";728797
"Rio Grande";8;"2000";706845
"Rio Grande";9;"2000";656781
"Rio Grande";10;"2000";705347
"Rio Grande";11;"2000";683852
"Rio Grande";12;"2000";689723
"Ushuaia";1;"2001";773113
"Ushuaia";2;"2001";701387
"Ushuaia";3;"2001";795522
"Ushuaia";4;"2001";750936
"Ushuaia";5;"2001";771580
"Ushuaia";6;"2001";762123
"Ushuaia";7;"2001";789107,8
"Ushuaia";8;"2001";812082
"Ushuaia";9;"2001";802095
"Ushuaia";10;"2001";782178
"Ushuaia";11;"2001";744579
"Ushuaia";12;"2001";767169
"Rio Grande";1;"2001";635544
"Rio Grande";2;"2001";596275
"Rio Grande";3;"2001";638511
"Rio Grande";4;"2001";659439
"Rio Grande";5;"2001";697696
"Rio Grande";6;"2001";687950
"Rio Grande";7;"2001";717541
"Rio Grande";8;"2001";730639
"Rio Grande";9;"2001";710122
"Rio Grande";10;"2001";707552
"Rio Grande";11;"2001";683886
"Rio Grande";12;"2001";685546
"Ushuaia";1;"2002";737480
"Ushuaia";2;"2002";682296
"Ushuaia";3;"2002";759237
"Ushuaia";4;"2002";714309
"Ushuaia";5;"2002";754549
"Ushuaia";6;"2002";791633
"Ushuaia";7;"2002";806844
"Ushuaia";8;"2002";817404
"Ushuaia";9;"2002";803960
"Ushuaia";10;"2002";797795
"Ushuaia";11;"2002";719406
"Ushuaia";12;"2002";778339
"Rio Grande";1;"2002";645229
"Rio Grande";2;"2002";593392
"Rio Grande";3;"2002";690720
"Rio Grande";4;"2002";661572
"Rio Grande";5;"2002";731589
"Rio Grande";6;"2002";662195
"Rio Grande";7;"2002";696901
"Rio Grande";8;"2002";734772
"Rio Grande";9;"2002";703678
"Rio Grande";10;"2002";723910
"Rio Grande";11;"2002";673777
"Rio Grande";12;"2002";677081
"Ushuaia";1;"2003";773130
"Ushuaia";2;"2003";702481
"Ushuaia";3;"2003";783309
"Ushuaia";4;"2003";731626
"Ushuaia";5;"2003";763553
"Ushuaia";6;"2003";796019
"Ushuaia";7;"2003";806478
"Ushuaia";8;"2003";803794
"Ushuaia";9;"2003";748321
"Ushuaia";10;"2003";771337
"Ushuaia";11;"2003";751348
"Ushuaia";12;"2003";797358
"Rio Grande";1;"2003";662410
"Rio Grande";2;"2003";613016
"Rio Grande";3;"2003";702342
"Rio Grande";4;"2003";654917
"Rio Grande";5;"2003";698749
"Rio Grande";6;"2003";644430
"Rio Grande";7;"2003";675538
"Rio Grande";8;"2003";670591
"Rio Grande";9;"2003";623245
"Rio Grande";10;"2003";651317
"Rio Grande";11;"2003";633901
"Rio Grande";12;"2003";620584
"Ushuaia";1;"2004";785927
"Ushuaia";2;"2004";723238
"Ushuaia";3;"2004";800974
"Ushuaia";4;"2004";752588,9
"Ushuaia";5;"2004";788589,1
"Ushuaia";6;"2004";751317,3
"Ushuaia";7;"2004";776386
"Ushuaia";8;"2004";782574
"Ushuaia";9;"2004";739469
"Ushuaia";10;"2004";755188
"Ushuaia";11;"2004";752876
"Ushuaia";12;"2004";798425
"Rio Grande";1;"2004";586888
"Rio Grande";2;"2004";570126
"Rio Grande";3;"2004";641340
"Rio Grande";4;"2004";613028
"Rio Grande";5;"2004";651664
"Rio Grande";6;"2004";628010
"Rio Grande";7;"2004";624011
"Rio Grande";8;"2004";632644
"Rio Grande";9;"2004";621885
"Rio Grande";10;"2004";646234
"Rio Grande";11;"2004";639187
"Rio Grande";12;"2004";653790
"Ushuaia";1;"2005";795715
"Ushuaia";2;"2005";733536
"Ushuaia";3;"2005";798767
"Ushuaia";4;"2005";761213
"Ushuaia";5;"2005";791424
"Ushuaia";6;"2005";786838
"Ushuaia";7;"2005";823587
"Ushuaia";8;"2005";803243
"Ushuaia";9;"2005";768499
"Ushuaia";10;"2005";769657
"Ushuaia";11;"2005";751731,54
"Ushuaia";12;"2005";794381,72
"Rio Grande";1;"2005";608059
"Rio Grande";2;"2005";575348
"Rio Grande";3;"2005";685022
"Rio Grande";4;"2005";652524
"Rio Grande";5;"2005";675562
"Rio Grande";6;"2005";680269
"Rio Grande";7;"2005";720124
"Rio Grande";8;"2005";680463
"Rio Grande";9;"2005";677393
"Rio Grande";10;"2005";682385
"Rio Grande";11;"2005";655196
"Rio Grande";12;"2005";654043
"Ushuaia";1;"2006";794689
"Ushuaia";2;"2006";714427
"Ushuaia";3;"2006";824042
"Ushuaia";4;"2006";778062
"Ushuaia";5;"2006";775670
"Ushuaia";6;"2006";795710
"Ushuaia";7;"2006";821128,72
"Ushuaia";8;"2006";806746
"Ushuaia";9;"2006";799072,4
"Ushuaia";10;"2006";802623,98
"Ushuaia";11;"2006";787140,24
"Ushuaia";12;"2006";820054
"Rio Grande";1;"2006";621854
"Rio Grande";2;"2006";625465
"Rio Grande";3;"2006";656202
"Rio Grande";4;"2006";664829
"Rio Grande";5;"2006";695006
"Rio Grande";6;"2006";680393
"Rio Grande";7;"2006";706859
"Rio Grande";8;"2006";724424
"Rio Grande";9;"2006";721903
"Rio Grande";10;"2006";721903
"Rio Grande";11;"2006";736689
"Rio Grande";12;"2006";710817
"Ushuaia";1;"2007";815976
"Ushuaia";2;"2007";743927,56
"Ushuaia";3;"2007";864479
"Ushuaia";4;"2007";863113
"Ushuaia";5;"2007";848191
"Ushuaia";6;"2007";823313
"Ushuaia";7;"2007";863331
"Ushuaia";8;"2007";857504
"Ushuaia";9;"2007";835893
"Ushuaia";10;"2007";862374,84
"Ushuaia";11;"2007";797782,24
"Ushuaia";12;"2007";796499,62
"Rio Grande";1;"2007";606008
"Rio Grande";2;"2007";629204
"Rio Grande";3;"2007";738224
"Rio Grande";4;"2007";726749
"Rio Grande";5;"2007";752359
"Rio Grande";6;"2007";744092
"Rio Grande";7;"2007";772676
"Rio Grande";8;"2007";769554
"Rio Grande";9;"2007";726819
"Rio Grande";10;"2007";697615
"Rio Grande";11;"2007";722675
"Rio Grande";12;"2007";749018
"Ushuaia";1;"2008";883798,8
"Ushuaia";2;"2008";848397,9
"Ushuaia";3;"2008";880375,608
"Ushuaia";4;"2008";852587,94
"Ushuaia";5;"2008";888678,22
"Ushuaia";6;"2008";884945,2
"Ushuaia";7;"2008";915700,68
"Ushuaia";8;"2008";942559,9
"Ushuaia";9;"2008";944652,5
"Ushuaia";10;"2008";938856,48
"Ushuaia";11;"2008";925700,9
"Ushuaia";12;"2008";950328,14
"Rio Grande";1;"2008";697352
"Rio Grande";2;"2008";630975
"Rio Grande";3;"2008";713160
"Rio Grande";4;"2008";695673
"Rio Grande";5;"2008";689224
"Rio Grande";6;"2008";682048
"Rio Grande";7;"2008";706493
"Rio Grande";8;"2008";702810
"Rio Grande";9;"2008";672763
"Rio Grande";10;"2008";705046
"Rio Grande";11;"2008";686113
"Rio Grande";12;"2008";705505
"Ushuaia";1;"2009";951301,28
"Ushuaia";2;"2009";914029,84
"Ushuaia";3;"2009";1003416,85
"Ushuaia";4;"2009";956801,12
"Ushuaia";5;"2009";1040929,73
"Ushuaia";6;"2009";985703,68
"Ushuaia";7;"2009";1098928,32
"Ushuaia";8;"2009";1010962,66
"Ushuaia";9;"2009";970534,08
"Ushuaia";10;"2009";1067812,16
"Ushuaia";11;"2009";1023083,2
"Ushuaia";12;"2009";1033586,88
"Rio Grande";1;"2009";625878
"Rio Grande";2;"2009";599303
"Rio Grande";3;"2009";713382
"Rio Grande";4;"2009";657538
"Rio Grande";5;"2009";696299
"Rio Grande";6;"2009";681506
"Rio Grande";7;"2009";729120
"Rio Grande";8;"2009";712819
"Rio Grande";9;"2009";669610
"Rio Grande";10;"2009";688344
"Rio Grande";11;"2009";681191
"Rio Grande";12;"2009";697542
"Ushuaia";1;"2010";1043220,08
"Ushuaia";2;"2010";881170,38
"Ushuaia";3;"2010";966713,5
"Ushuaia";4;"2010";929330,4
"Ushuaia";5;"2010";971878,7
"Ushuaia";6;"2010";952356,8
"Ushuaia";7;"2010";993564,7
"Ushuaia";8;"2010";969126,7
"Ushuaia";9;"2010";959353,3
"Ushuaia";10;"2010";992414
"Ushuaia";11;"2010";961666,7
"Ushuaia";12;"2010";987132,9
"Rio Grande";1;"2010";639662
"Rio Grande";2;"2010";586644
"Rio Grande";3;"2010";713016
"Rio Grande";4;"2010";690717
"Rio Grande";5;"2010";705383
"Rio Grande";6;"2010";722274
"Rio Grande";7;"2010";751079
"Rio Grande";8;"2010";712430
"Rio Grande";9;"2010";683734
"Rio Grande";10;"2010";708354
"Rio Grande";11;"2010";715621
"Rio Grande";12;"2010";735314
"Ushuaia";1;"2011";1004999,5
"Ushuaia";2;"2011";902612,1
"Ushuaia";3;"2011";1011227,1
"Ushuaia";4;"2011";963164,2
"Ushuaia";5;"2011";1016939,6
"Ushuaia";6;"2011";920225,9
"Ushuaia";7;"2011";908947,2
"Ushuaia";8;"2011";870703,3
"Ushuaia";9;"2011";897432,89
"Ushuaia";10;"2011";961479,6
"Ushuaia";11;"2011";954906,2
"Ushuaia";12;"2011";960314,2
"Rio Grande";1;"2011";672706
"Rio Grande";2;"2011";649281
"Rio Grande";3;"2011";737852
"Rio Grande";4;"2011";707945
"Rio Grande";5;"2011";740211
"Rio Grande";6;"2011";724681
"Rio Grande";7;"2011";775041
"Rio Grande";8;"2011";754339
"Rio Grande";9;"2011";722989
"Rio Grande";10;"2011";731624
"Rio Grande";11;"2011";729884
"Rio Grande";12;"2011";767506
"Ushuaia";1;"2012";955229,6
"Ushuaia";2;"2012";889440,5
"Ushuaia";3;"2012";965438
"Ushuaia";4;"2012";917761,1
"Ushuaia";5;"2012";960648,2
"Ushuaia";6;"2012";955739,3
"Ushuaia";7;"2012";960956,8
"Ushuaia";8;"2012";985477,6
"Ushuaia";9;"2012";936262,4
"Ushuaia";10;"2012";971360
"Ushuaia";11;"2012";947175,6
"Ushuaia";12;"2012";966972,4
"Rio Grande";1;"2012";695334
"Rio Grande";2;"2012";687308
"Rio Grande";3;"2012";828506
"Rio Grande";4;"2012";766110
"Rio Grande";5;"2012";779154
"Rio Grande";6;"2012";775244
"Rio Grande";7;"2012";809810
"Rio Grande";8;"2012";802032
"Rio Grande";9;"2012";763579
"Rio Grande";10;"2012";766528
"Rio Grande";11;"2012";766482
"Rio Grande";12;"2012";786430
"Ushuaia";1;"2013";944678,4
"Ushuaia";2;"2013";869717,6
"Ushuaia";3;"2013";994664
"Ushuaia";4;"2013";964318,8
"Ushuaia";5;"2013";986312,8
"Ushuaia";6;"2013";961934,4
"Ushuaia";7;"2013";995600,4
"Ushuaia";8;"2013";970977,6
"Ushuaia";9;"2013";955334,4
"Ushuaia";10;"2013";958043,2
"Ushuaia";11;"2013";957080
